siteID,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_MEDIAN_M_BASIN,ELEV_STD_M_BASIN,ELEV_SITE_M,RRMEAN,SLOPE_PCT,ASPECT_DEGREES,PPTAVG_BASIN,PPTAVG_SITE,T_AVG_BASIN,T_AVG_SITE,T_MAX_BASIN,T_MAXSTD_BASIN,T_MAX_SITE,T_MIN_BASIN,T_MINSTD_BASIN,T_MIN_SITE,RH_BASIN,RH_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,JAN_TMP7100_DEGC,FEB_TMP7100_DEGC,MAR_TMP7100_DEGC,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,NOV_TMP7100_DEGC,DEC_TMP7100_DEGC,STREAMS_KM_SQ_KM,MAINSTEM_SINUOUSITY,BFI_AVE,TOPWET,CONTACT,RUNAVE7100,WB5100_JAN_MM,WB5100_FEB_MM,WB5100_MAR_MM,WB5100_APR_MM,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_JUL_MM,WB5100_AUG_MM,WB5100_SEP_MM,WB5100_OCT_MM,WB5100_NOV_MM,WB5100_DEC_MM,WB5100_ANN_MM,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,RIP100_DEV,RIP100_FOREST,RIP100_PLANT,RIP100_11,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,GEOL_REEDBUSH_DOM_PCT
s57,622.9,1446,212,596,224.9,230,0.333,22.3,40.1,136.22,105.66,4.81,5.4,9.91,1.502,12.3,-1.46,0.712,-0.6,70.8,68,517.7,39,0.028,11.53,8.38,11.41,11.54,11.28,11.94,11.39,12.14,11.12,12.5,12.62,10.69,-9.49,-8.58,-3.62,2.86,9.75,14.81,17.28,16.25,11.98,6.15,0.07,-6.76,0.38,1.21,47.4,9.88,15.5,719.3,18.3,9.2,9.7,64.4,141.7,132.2,83.9,56.7,50.2,66.9,72.6,36.2,742,0.33,99.04,0,0,2.85,93.71,0,0.04,0.14,2.81,1.38,1.3,4.14,50.52,6.12,50.33,43.56,0.21,117.4,100
s198,150.6,248,57,151,33.3,63,0.49,4,67,127.21,126.1,8.71,9,14.85,0.251,15.3,3.38,0.356,3.7,67,66,625.1,26.5,0.034,11.85,9,11.57,11.03,9.62,9.72,9.87,10.73,10.22,11.26,11.9,10.78,-3.74,-2.51,2.17,8.02,13.91,18.63,21.5,20.69,16.27,10.28,5.05,-1.08,0.76,1.64,53.2,12.32,68.7,699.1,38.8,34.9,77.8,122.5,86.2,52.2,28.5,20.2,19.4,31.8,58.3,56.4,626.9,11.84,69.94,4.54,2.6,9.76,56.38,4.59,7.22,0.12,5.75,1.41,2.5,3.92,52.71,5.4,41.74,52.86,0.2,139.56,100
s201,137.9,421,10,133,56.6,19,0.311,4.6,87,124.46,124.09,8.69,9.7,14.8,0.518,15.3,3.04,0.592,4.8,66.4,68,628.5,27.1,0.027,11.28,8.67,10.99,10.73,9.58,9.64,9.79,10.59,10.28,11.02,11.56,10.43,-4.03,-2.98,1.8,7.8,13.73,18.65,21.52,20.65,16.2,10.22,4.84,-1.4,0.75,1.67,53.7,12.06,77.8,697.3,34.9,31,72.1,118.9,85.5,51.7,28.4,19.8,18.2,29.1,53.5,51.4,594.6,28.86,52.59,5.24,2.61,22.53,42.8,4.5,8.32,0.12,5.62,1.38,1.45,3.5,52.6,5.24,41.18,53.58,0.21,138.86,72
s222,69.1,206,0,58,40.9,4,0.336,3.7,148.3,126.44,123.73,9.77,10,15,0.166,15.1,4.63,0.636,5.7,70.3,70,648.5,24.5,0.04,11.5,9.14,11.64,11.18,9.89,9.5,8.68,11.14,10.21,10.35,12.02,11.22,-2.27,-1.51,2.77,8.13,13.61,18.56,21.71,21,17.11,11.43,6.01,0.16,0.72,2.18,65.3,12.36,77.8,699.7,51.8,49.4,88.4,113.1,77,46.5,26,18.9,18.2,25.1,52.9,63.9,631.2,11.01,59.01,8.17,2.19,8.36,42.76,6.56,5.09,0.12,6.9,1.36,5.68,4.12,55.67,4.64,41.64,53.72,0.22,168.64,99.8
s231,173.3,396,0,175,63.5,15,0.438,5.9,173.4,128.46,130.95,8.64,10,14.49,0.571,15.9,2.72,0.38,4,65.8,67,622.8,26.6,0.02,11.31,8.36,11.04,11.12,10.18,10.22,10.48,11.29,10.86,11.32,11.61,10.72,-4.29,-3.35,1.55,7.63,13.55,18.38,21.14,20.21,15.9,10.04,4.56,-1.64,0.54,1.39,51.3,11.81,42.2,674.9,35.5,30.7,70.4,118.7,85.3,51.5,29.1,21.1,22.6,33.2,56.6,54,608.7,9.67,68.76,7.68,1.63,9.92,52.39,6.46,5.05,0.12,4.97,1.4,3.09,3.87,54.52,5.8,44.37,49.83,0.21,142.55,100
s234,230.3,396,104,227,42,106,0.433,6.7,129.3,126.16,127.79,8.03,8.4,13.98,0.312,14.9,2.36,0.233,2.5,65.3,65,608.3,29.9,0.017,11.2,8.26,10.99,10.83,10,10.16,10.43,10.72,10.59,11.17,11.39,10.44,-4.92,-4.03,0.9,7.17,13.28,18.16,20.91,19.9,15.4,9.42,4.08,-2.21,0.93,1.79,52.9,11.99,90.3,683.5,27.9,20.4,54.6,125.9,108.1,63.9,35.4,25.3,24.7,36.6,58.9,48.1,629.9,12,69.04,5.39,2.81,12.48,55.33,4.4,7.76,0.14,3.66,1.37,1.3,3.33,52.86,5.89,45.59,48.51,0.2,136.35,100
s239,206.6,360,101,203,50.8,121,0.408,4.8,170.4,125.69,129.26,8.13,8.5,14.1,0.441,15,2.54,0.275,2.5,65.9,65,609.1,29,0.019,11.16,8.28,11,10.61,9.9,10.01,10.7,10.56,10.48,11.23,11.5,10.3,-4.73,-3.77,1.07,7.29,13.33,18.23,21.03,20.11,15.65,9.7,4.28,-2.06,0.81,1.28,52.4,12.19,77.8,687.3,28.5,22.2,58.7,123.6,98.2,58.4,32.2,22.4,21.9,33,55.5,47.4,601.9,18.57,58.65,6.13,5.49,14.81,46.12,3.36,12.62,0.13,5.33,1.36,1.17,3.31,54.27,5.27,41.1,53.63,0.2,137.63,95.9
s243,164.4,396,22,161,63.9,40,0.381,5.1,186.1,127.33,127,8.63,9.8,14.6,0.584,15.9,2.79,0.466,3.7,66.4,67,624.1,27.8,0.025,11.56,8.6,11.27,10.85,9.85,9.82,10.25,11.03,10.4,11.26,11.73,10.73,-4.29,-3.24,1.59,7.67,13.63,18.46,21.3,20.39,15.94,9.95,4.61,-1.6,0.81,1.41,52.9,11.97,75.1,687.6,34.8,29.6,69.7,124,93.3,55.5,30.8,21.7,21.4,32.5,57.5,53.3,624.1,11.83,61.33,9.15,2.65,10.64,47.98,7.53,7.39,0.12,5.23,1.38,2.37,3.76,54.24,5.59,43.4,51.02,0.21,145.34,72
s244,124,212,28,127,32.1,39,0.522,4.9,96.8,131.04,132.08,9.22,9.8,15.09,0.25,15.9,3.45,0.204,3.9,66,66,639.9,25.1,0.027,11.76,8.91,11.62,11.39,10.41,9.89,10,11.59,10.78,11.47,12.13,11.29,-3.48,-2.46,2.24,8.13,13.84,18.75,21.63,20.77,16.5,10.57,5.15,-0.93,0.49,1.33,51.1,12.02,48.1,703.8,43.2,40.7,84.1,118.4,80.1,48.4,27.1,19.1,19.7,29.9,56.1,60.1,626.9,8.21,62.91,15.41,2.38,8.32,47.82,9.57,6.61,0.13,4.54,1.39,3.57,3.6,55.62,5.98,44.8,49.22,0.21,152.47,100
s297,410.9,730,141,428,108.6,144,0.458,13.6,117.5,130.78,127.23,6.56,7.4,12.34,0.594,13.6,0.64,0.231,1.2,67.4,66,563.3,34.3,0.018,10.53,8.69,10.99,11.07,11.75,11.53,10.69,11.61,10.3,11.1,12.02,10.64,-7.29,-6.62,-1.44,5.16,11.63,16.43,18.91,17.85,13.67,7.97,2.09,-4.65,0.99,1.42,45.7,11.24,33.7,852.3,21,11.8,26.3,107.5,152.7,104.1,59.7,37.9,36.5,49.9,68.9,40.7,716.9,2.93,91.01,4.15,0.38,4.9,85.37,5.04,0.82,0.14,2.9,1.34,1.01,4.83,45.15,6.03,52.82,41.15,0.24,117.35,100
